,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,east london,ZA,-33.02,27.91,20.68,100.0,20.0,8.52
1,cherskiy,RU,68.75,161.3,-20.63,83.0,76.0,1.57
2,castro,CL,-42.48,-73.76,11.58,98.0,92.0,2.87
3,ushuaia,AR,-54.81,-68.31,8.0,76.0,40.0,1.5
4,prudyanka,UA,50.24,36.17,12.0,93.0,75.0,7
5,villamontes,BO,-21.26,-63.47,18.5,95.0,64.0,1.07
6,college,US,64.86,-147.8,0.0,95.0,90.0,1.62
7,ostrovnoy,RU,68.05,39.51,-2.73,92.0,88.0,5.02
8,hovd,NO,63.83,10.7,-3.0,92.0,75.0,3.1
9,erzin,TR,36.95,36.2,11.0,93.0,0.0,1.87
10,port alfred,ZA,-33.59,26.89,19.88,95.0,0.0,6.32
11,qaanaaq,GL,77.48,-69.36,-22.33,100.0,0.0,4.47
12,sakakah,,,,,,,
13,avarua,CK,-21.21,-159.78,24.0,94.0,90.0,3.6
14,melfi,IT,41,15.66,11.0,71.0,40.0,8.7
15,luderitz,NA,-26.65,15.16,24.0,50.0,32.0,2.6
16,hobart,AU,-42.88,147.33,12.0,57.0,75.0,3.1
17,skelleftea,SE,64.75,20.95,-3.0,86.0,48.0,3.1
18,port elizabeth,US,39.31,-74.98,11.0,100.0,90.0,4.6
19,naze,NG,5.43,7.07,25.0,94.0,20.0,2.47
20,ingham,AU,-18.65,146.16,27.18,86.0,0.0,2.67
21,awjilah,LY,29.14,21.3,20.38,40.0,44.0,5.47
22,yellowknife,CA,62.45,-114.38,0.0,93.0,90.0,3.1
23,mataura,NZ,-46.19,168.86,11.25,97.0,88.0,2.57
24,rabo de peixe,PT,37.8,-25.58,18.0,63.0,40.0,6.2
25,barrow,AR,-38.31,-60.23,16.68,76.0,0.0,4.67
26,lashio,MM,22.93,97.75,18.93,95.0,76.0,0.47
27,cristinapolis,BR,-11.48,-37.76,24.75,72.0,0.0,5.87
28,barentsburg,,,,,,,
29,tshane,BW,-24.02,21.87,20.33,25.0,0.0,4.57
30,bengkulu,,,,,,,
31,sao filipe,CV,14.9,-24.5,25.5,100.0,8.0,5.67
32,chipinge,ZW,-20.19,32.62,15.2,79.0,0.0,1.17
33,san vicente,SV,13.64,-88.78,26.0,88.0,75.0,5.7
34,pasni,PK,25.26,63.48,25.18,97.0,0.0,2.57
35,vaini,IN,15.34,74.49,19.2,54.0,0.0,2.72
36,urdoma,RU,61.74,48.55,-0.13,90.0,76.0,1.87
37,bay roberts,CA,47.58,-53.28,3.0,74.0,90.0,3.1
38,saint george,GR,39.45,22.34,12.0,100.0,0.0,2.1
39,mahebourg,MU,-20.41,57.7,18.0,88.0,20.0,3.1
40,carnarvon,ZA,-30.97,22.13,13.95,25.0,0.0,0.97
41,rikitea,PF,-23.12,-134.97,22.88,100.0,32.0,6.57
42,ixtapa,MX,20.71,-105.21,28.0,83.0,90.0,2.6
43,zitlala,MX,17.69,-99.19,20.05,81.0,8.0,0.62
44,albany,US,42.65,-73.75,7.0,81.0,90.0,4.1
45,zlatoustovsk,,,,,,,
46,bethel,US,60.79,-161.76,1.0,55.0,40.0,9.3
47,kaitangata,NZ,-46.28,169.85,9.58,100.0,92.0,2.92
48,sambava,MG,-14.27,50.17,23.15,100.0,68.0,4.92
49,ribeira grande,PT,38.52,-28.7,19.55,100.0,32.0,7.82
50,arman,RU,59.7,150.17,4.0,93.0,90.0,3
51,micomeseng,GQ,2.15,10.62,22.43,97.0,48.0,1.37
52,beringovskiy,RU,63.05,179.32,-0.55,100.0,76.0,3.07
53,norman wells,CA,65.28,-126.83,-5.0,92.0,90.0,2.1
54,katsuura,JP,33.93,134.5,17.0,59.0,40.0,4.1
55,kupang,ID,-10.16,123.6,27.5,91.0,76.0,2.17
56,fort nelson,CA,58.81,-122.69,10.0,34.0,40.0,1.5
57,bredasdorp,ZA,-34.53,20.04,19.0,82.0,56.0,5.7
58,punta arenas,CL,-53.16,-70.91,10.0,57.0,75.0,5.7
59,kutum,SD,14.2,24.66,19.4,33.0,0.0,4.37
60,jamestown,AU,-33.21,138.6,12.38,100.0,92.0,1.72
61,troitskoye,RU,52.98,84.68,-2.83,74.0,0.0,1.17
62,hithadhoo,MV,-0.6,73.08,26.75,100.0,64.0,4.22
63,asau,,,,,,,
64,broome,GB,52.47,1.45,7.0,87.0,64.0,2.1
65,mutare,MZ,-18.97,32.67,11.95,94.0,0.0,1.12
66,xiongzhou,CN,32.34,118.83,14.0,58.0,0.0,4
67,tasiilaq,GL,65.61,-37.64,-1.0,100.0,92.0,15.9
68,zhigansk,RU,66.77,123.37,-7.58,85.0,88.0,6.07
69,lorengau,PG,-2.02,147.27,29.3,97.0,0.0,0.42
70,mount gambier,AU,-37.83,140.78,13.78,75.0,20.0,1.52
71,mehamn,NO,71.03,27.85,-0.13,80.0,88.0,6.27
72,lolua,,,,,,,
73,krasnoselkup,,,,,,,
74,aranos,NA,-24.14,19.11,21.0,21.0,64.0,2.27
75,dikson,RU,73.51,80.55,-3.93,100.0,76.0,15.02
76,attawapiskat,,,,,,,
77,tuatapere,NZ,-46.13,167.69,9.4,100.0,92.0,1.12
78,cidreira,BR,-30.17,-50.22,17.38,92.0,92.0,5.92
79,severo-yeniseyskiy,RU,60.37,93.04,5.05,59.0,0.0,4.27
80,wuda,CN,39.5,106.72,-5.8,68.0,0.0,1.97
81,nanortalik,GL,60.14,-45.24,1.95,94.0,76.0,6.62
82,kodiak,US,39.95,-94.76,13.0,71.0,1.0,2.1
83,chuy,UY,-33.69,-53.46,15.63,90.0,20.0,4.72
84,chara,GR,39.42,22.43,12.0,100.0,0.0,2.1
85,longyearbyen,NO,78.22,15.63,-7.0,73.0,75.0,4.1
86,butaritari,KI,3.07,172.79,29.8,100.0,12.0,5.07
87,solnechnyy,RU,50.72,136.64,2.03,85.0,44.0,4.07
88,nizhneyansk,,,,,,,
89,provideniya,RU,64.42,-173.23,-2.83,100.0,8.0,3.02
90,arraial do cabo,BR,-22.97,-42.02,22.95,97.0,92.0,4.17
91,chumikan,RU,54.72,135.31,3.25,100.0,92.0,9.32
92,kapaa,US,22.08,-159.32,30.0,78.0,90.0,7.2
93,belushya guba,,,,,,,
94,busselton,AU,-33.64,115.35,15.08,100.0,0.0,4.82
95,rungata,,,,,,,
96,yatou,CM,3.63,9.81,26.0,94.0,75.0,1
97,praia da vitoria,PT,38.73,-27.07,18.0,68.0,75.0,7.77
98,geraldton,CA,49.72,-86.95,2.0,80.0,90.0,1.5
99,tuktoyaktuk,CA,69.44,-133.03,-4.0,100.0,90.0,6.2
100,ulladulla,AU,-35.36,150.48,18.0,45.0,90.0,6.2
101,illoqqortoormiut,,,,,,,
102,ponta do sol,BR,-20.63,-46,21.08,86.0,88.0,3.97
103,palora,EC,-1.7,-77.97,16.45,100.0,24.0,0.17
104,esperance,TT,10.24,-61.45,26.0,78.0,20.0,2.57
105,nantucket,US,41.28,-70.1,16.0,93.0,40.0,5.7
106,mbeya,TZ,-8.91,33.47,14.18,85.0,0.0,2.17
107,amderma,,,,,,,
108,bluff,AU,-23.58,149.07,32.0,45.0,0.0,2.32
109,victoria,BN,5.28,115.24,28.0,100.0,75.0,1
110,clyde river,CA,70.47,-68.59,-13.0,84.0,90.0,8.2
111,natchez,US,31.56,-91.4,17.0,82.0,1.0,1.5
112,tanjong karang,,,,,,,
113,lompoc,US,34.64,-120.46,25.0,38.0,1.0,5.1
114,tezu,IN,27.93,96.16,15.3,50.0,0.0,0.87
115,piedras negras,MX,28.7,-100.52,28.0,51.0,5.0,3.1
116,grand gaube,MU,-20.01,57.66,18.0,88.0,20.0,3.1
117,gat,SN,14.69,-16.54,26.0,78.0,8.0,1
118,lagoa,PT,37.14,-8.45,13.0,62.0,0.0,6.2
119,guane,CU,22.2,-84.09,26.68,74.0,44.0,2.22
120,cape town,ZA,-33.93,18.42,16.0,93.0,0.0,1.5
121,bambous virieux,MU,-20.34,57.76,18.0,88.0,20.0,3.1
122,talcahuano,CL,-36.72,-73.12,15.0,87.0,0.0,3.1
123,hilo,US,19.71,-155.08,28.0,69.0,1.0,3.6
124,taolanaro,,,,,,,
125,kimberley,ZA,-28.74,24.76,22.0,60.0,0.0,3.6
126,mount vernon,US,40.91,-73.84,12.0,93.0,90.0,3.6
127,nilagiri,IN,21.46,86.77,19.4,100.0,0.0,1.32
128,araouane,ML,18.9,-3.53,18.05,25.0,0.0,2.07
129,aklavik,CA,68.22,-135.01,-5.0,92.0,90.0,2.1
130,mys shmidta,,,,,,,
131,san german,MX,27.95,-110.92,30.0,58.0,5.0,5.1
132,grants,US,35.15,-107.85,13.0,35.0,1.0,1.5
133,acapulco,MX,16.86,-99.88,28.0,78.0,75.0,3.1
134,khatanga,RU,71.98,102.47,1.25,88.0,64.0,7.87
135,atuona,PF,-9.8,-139.03,26.75,100.0,80.0,8.92
136,kaeo,NZ,-35.1,173.78,18.75,72.0,76.0,4.12
